sex,Race_ethnicity,age_group,Total_cases,Total_deaths,Medcond,Month,Year,date
Female,Asian,0 - 9 Years,15,0,Yes,7,2020,7/1/2020
Female,White,0 - 9 Years,3850,1,No,8,2020,8/1/2020
Female,Other/Missing,0 - 9 Years,9661,2,No,8,2020,8/1/2020
Female,Hispanic,0 - 9 Years,4180,3,No,8,2020,8/1/2020
Female,Asian,0 - 9 Years,387,0,No,8,2020,8/1/2020
Female,Black,0 - 9 Years,2183,0,No,8,2020,8/1/2020
Female,Black,0 - 9 Years,119,0,Yes,8,2020,8/1/2020
Female,White,0 - 9 Years,234,0,Yes,8,2020,8/1/2020
Female,Hispanic,0 - 9 Years,189,0,Yes,8,2020,8/1/2020
Female,Other/Missing,0 - 9 Years,86,0,Yes,8,2020,8/1/2020
Female,Asian,0 - 9 Years,7,0,Yes,8,2020,8/1/2020
Female,Hispanic,0 - 9 Years,3440,1,No,9,2020,9/1/2020
Female,Other/Missing,0 - 9 Years,8194,0,No,9,2020,9/1/2020
Female,White,0 - 9 Years,5053,0,No,9,2020,9/1/2020
Female,Black,0 - 9 Years,1597,1,No,9,2020,9/1/2020
Female,Asian,0 - 9 Years,286,0,No,9,2020,9/1/2020
Female,Hispanic,0 - 9 Years,110,0,Yes,9,2020,9/1/2020
Female,White,0 - 9 Years,291,0,Yes,9,2020,9/1/2020
Female,Other/Missing,0 - 9 Years,76,0,Yes,9,2020,9/1/2020
Female,Black,0 - 9 Years,107,0,Yes,9,2020,9/1/2020
Female,Asian,0 - 9 Years,6,0,Yes,9,2020,9/1/2020
Female,Hispanic,0 - 9 Years,6001,0,No,10,2020,10/1/2020
Female,Other/Missing,0 - 9 Years,14739,0,No,10,2020,10/1/2020
Female,White,0 - 9 Years,10333,0,No,10,2020,10/1/2020
Female,Black,0 - 9 Years,2294,1,No,10,2020,10/1/2020
Female,Asian,0 - 9 Years,664,0,No,10,2020,10/1/2020
Female,White,0 - 9 Years,424,0,Yes,10,2020,10/1/2020
Female,Other/Missing,0 - 9 Years,113,0,Yes,10,2020,10/1/2020
Female,Hispanic,0 - 9 Years,145,0,Yes,10,2020,10/1/2020
Female,Black,0 - 9 Years,148,0,Yes,10,2020,10/1/2020
Female,Asian,0 - 9 Years,12,0,Yes,10,2020,10/1/2020
Female,Hispanic,0 - 9 Years,9749,0,No,11,2020,11/1/2020
Female,Other/Missing,0 - 9 Years,34270,2,No,11,2020,11/1/2020
Female,White,0 - 9 Years,20796,2,No,11,2020,11/1/2020
Female,Black,0 - 9 Years,3609,0,No,11,2020,11/1/2020
Female,Asian,0 - 9 Years,1284,0,No,11,2020,11/1/2020
Female,White,0 - 9 Years,661,1,Yes,11,2020,11/1/2020
Female,Hispanic,0 - 9 Years,245,2,Yes,11,2020,11/1/2020
Female,Other/Missing,0 - 9 Years,186,0,Yes,11,2020,11/1/2020
Female,Black,0 - 9 Years,191,1,Yes,11,2020,11/1/2020
Female,Asian,0 - 9 Years,14,0,Yes,11,2020,11/1/2020
Female,White,0 - 9 Years,25446,4,No,12,2020,12/1/2020
Female,Other/Missing,0 - 9 Years,59795,1,No,12,2020,12/1/2020
Female,Asian,0 - 9 Years,2308,0,No,12,2020,12/1/2020
Female,Black,0 - 9 Years,5869,0,No,12,2020,12/1/2020
Female,Hispanic,0 - 9 Years,11537,1,No,12,2020,12/1/2020
Female,Black,0 - 9 Years,259,0,Yes,12,2020,12/1/2020
Female,Other/Missing,0 - 9 Years,262,0,Yes,12,2020,12/1/2020
Female,White,0 - 9 Years,831,2,Yes,12,2020,12/1/2020
Female,Hispanic,0 - 9 Years,380,0,Yes,12,2020,12/1/2020
Female,Asian,0 - 9 Years,30,0,Yes,12,2020,12/1/2020
Female,White,0 - 9 Years,23432,1,No,1,2021,1/1/2021
Female,Black,0 - 9 Years,6593,2,No,1,2021,1/1/2021
Female,Other/Missing,0 - 9 Years,51444,3,No,1,2021,1/1/2021
Female,Hispanic,0 - 9 Years,11171,0,No,1,2021,1/1/2021
Female,Asian,0 - 9 Years,2288,0,No,1,2021,1/1/2021
Female,Black,0 - 9 Years,334,0,Yes,1,2021,1/1/2021
Female,Other/Missing,0 - 9 Years,259,0,Yes,1,2021,1/1/2021
Female,White,0 - 9 Years,720,0,Yes,1,2021,1/1/2021
Female,Hispanic,0 - 9 Years,461,0,Yes,1,2021,1/1/2021
Female,Asian,0 - 9 Years,30,0,Yes,1,2021,1/1/2021
Female,White,0 - 9 Years,6421,4,No,2,2021,2/1/2021
Female,Hispanic,0 - 9 Years,2968,0,No,2,2021,2/1/2021
Female,Other/Missing,0 - 9 Years,10660,1,No,2,2021,2/1/2021
Female,Asian,0 - 9 Years,534,0,No,2,2021,2/1/2021
Female,Black,0 - 9 Years,1793,1,No,2,2021,2/1/2021
Female,White,0 - 9 Years,173,0,Yes,2,2021,2/1/2021
Female,Hispanic,0 - 9 Years,131,0,Yes,2,2021,2/1/2021
Female,Other/Missing,0 - 9 Years,101,0,Yes,2,2021,2/1/2021
Female,Black,0 - 9 Years,79,0,Yes,2,2021,2/1/2021
Female,Asian,0 - 9 Years,14,0,Yes,2,2021,2/1/2021
Male,Asian,0 - 9 Years,2,0,No,1,2020,1/1/2020
Male,White,0 - 9 Years,18,0,No,1,2020,1/1/2020
Male,Hispanic,0 - 9 Years,5,0,No,1,2020,1/1/2020
Male,Other/Missing,0 - 9 Years,32,0,No,1,2020,1/1/2020
Male,White,0 - 9 Years,2,0,Yes,1,2020,1/1/2020
Male,Black,0 - 9 Years,5,0,No,1,2020,1/1/2020
Male,Black,0 - 9 Years,1,0,Yes,1,2020,1/1/2020
Male,Black,0 - 9 Years,4,0,No,2,2020,2/1/2020
Male,Other/Missing,0 - 9 Years,13,0,No,2,2020,2/1/2020
Male,Asian,0 - 9 Years,2,0,No,2,2020,2/1/2020
Male,White,0 - 9 Years,9,0,No,2,2020,2/1/2020
Male,Hispanic,0 - 9 Years,2,0,No,2,2020,2/1/2020
Male,Hispanic,0 - 9 Years,1,0,Yes,2,2020,2/1/2020
Male,Other/Missing,0 - 9 Years,1,0,Yes,2,2020,2/1/2020
Male,Hispanic,0 - 9 Years,217,1,No,3,2020,3/1/2020
Male,Black,0 - 9 Years,93,2,No,3,2020,3/1/2020
Male,Other/Missing,0 - 9 Years,740,1,No,3,2020,3/1/2020
Male,White,0 - 9 Years,215,2,No,3,2020,3/1/2020
Male,Asian,0 - 9 Years,29,0,No,3,2020,3/1/2020
Male,White,0 - 9 Years,36,0,Yes,3,2020,3/1/2020
Male,Other/Missing,0 - 9 Years,47,0,Yes,3,2020,3/1/2020
Male,Asian,0 - 9 Years,6,0,Yes,3,2020,3/1/2020
Male,Black,0 - 9 Years,13,0,Yes,3,2020,3/1/2020
Male,Hispanic,0 - 9 Years,38,1,Yes,3,2020,3/1/2020
Male,Other/Missing,0 - 9 Years,2442,3,No,4,2020,4/1/2020
Male,Black,0 - 9 Years,400,0,No,4,2020,4/1/2020
Male,Hispanic,0 - 9 Years,1252,1,No,4,2020,4/1/2020
Male,Asian,0 - 9 Years,121,0,No,4,2020,4/1/2020
Male,White,0 - 9 Years,498,1,No,4,2020,4/1/2020
Male,White,0 - 9 Years,74,0,Yes,4,2020,4/1/2020
Male,Hispanic,0 - 9 Years,122,0,Yes,4,2020,4/1/2020
Male,Other/Missing,0 - 9 Years,99,0,Yes,4,2020,4/1/2020
Male,Black,0 - 9 Years,64,1,Yes,4,2020,4/1/2020
Male,Asian,0 - 9 Years,7,0,Yes,4,2020,4/1/2020
Male,Hispanic,0 - 9 Years,2997,0,No,5,2020,5/1/2020
Male,White,0 - 9 Years,858,2,No,5,2020,5/1/2020
Male,Other/Missing,0 - 9 Years,4196,1,No,5,2020,5/1/2020
Male,Black,0 - 9 Years,856,0,No,5,2020,5/1/2020
Male,Asian,0 - 9 Years,193,0,No,5,2020,5/1/2020
Male,Other/Missing,0 - 9 Years,117,0,Yes,5,2020,5/1/2020
Male,Asian,0 - 9 Years,23,0,Yes,5,2020,5/1/2020
Male,Hispanic,0 - 9 Years,232,0,Yes,5,2020,5/1/2020
Male,White,0 - 9 Years,100,1,Yes,5,2020,5/1/2020
Male,Black,0 - 9 Years,97,0,Yes,5,2020,5/1/2020
Male,Hispanic,0 - 9 Years,4548,3,No,6,2020,6/1/2020
Male,Other/Missing,0 - 9 Years,7535,0,No,6,2020,6/1/2020
Male,White,0 - 9 Years,1982,1,No,6,2020,6/1/2020
Male,Black,0 - 9 Years,1408,0,No,6,2020,6/1/2020
Male,Asian,0 - 9 Years,308,0,No,6,2020,6/1/2020
Male,Hispanic,0 - 9 Years,366,1,Yes,6,2020,6/1/2020
Male,Asian,0 - 9 Years,30,0,Yes,6,2020,6/1/2020
Male,White,0 - 9 Years,176,0,Yes,6,2020,6/1/2020
Male,Other/Missing,0 - 9 Years,178,0,Yes,6,2020,6/1/2020
Male,Black,0 - 9 Years,147,0,Yes,6,2020,6/1/2020
Male,Black,0 - 9 Years,2864,1,No,7,2020,7/1/2020
Male,Hispanic,0 - 9 Years,5671,3,No,7,2020,7/1/2020
Male,White,0 - 9 Years,4121,0,No,7,2020,7/1/2020
Male,Other/Missing,0 - 9 Years,13577,0,No,7,2020,7/1/2020
Male,Asian,0 - 9 Years,330,0,No,7,2020,7/1/2020
Male,Hispanic,0 - 9 Years,297,0,Yes,7,2020,7/1/2020
Male,Other/Missing,0 - 9 Years,145,0,Yes,7,2020,7/1/2020
Male,White,0 - 9 Years,288,0,Yes,7,2020,7/1/2020
Male,Asian,0 - 9 Years,27,0,Yes,7,2020,7/1/2020
Male,Black,0 - 9 Years,217,1,Yes,7,2020,7/1/2020
Male,White,0 - 9 Years,4024,1,No,8,2020,8/1/2020
Male,Hispanic,0 - 9 Years,4385,1,No,8,2020,8/1/2020
Male,Other/Missing,0 - 9 Years,9953,1,No,8,2020,8/1/2020
Male,Black,0 - 9 Years,2305,0,No,8,2020,8/1/2020
Male,Asian,0 - 9 Years,387,0,No,8,2020,8/1/2020
Male,Other/Missing,0 - 9 Years,112,1,Yes,8,2020,8/1/2020
Male,White,0 - 9 Years,252,0,Yes,8,2020,8/1/2020
Male,Hispanic,0 - 9 Years,233,0,Yes,8,2020,8/1/2020
Male,Black,0 - 9 Years,163,0,Yes,8,2020,8/1/2020
Male,Asian,0 - 9 Years,17,0,Yes,8,2020,8/1/2020
Male,Asian,0 - 9 Years,401,0,No,9,2020,9/1/2020
Male,White,0 - 9 Years,5493,3,No,9,2020,9/1/2020
Male,Other/Missing,0 - 9 Years,8476,1,No,9,2020,9/1/2020
Male,Hispanic,0 - 9 Years,3599,1,No,9,2020,9/1/2020
Male,Black,0 - 9 Years,1562,1,No,9,2020,9/1/2020
Male,White,0 - 9 Years,350,0,Yes,9,2020,9/1/2020
Male,Hispanic,0 - 9 Years,136,0,Yes,9,2020,9/1/2020
Male,Black,0 - 9 Years,115,0,Yes,9,2020,9/1/2020
Male,Other/Missing,0 - 9 Years,87,0,Yes,9,2020,9/1/2020
Male,Asian,0 - 9 Years,13,0,Yes,9,2020,9/1/2020
Male,Hispanic,0 - 9 Years,6285,0,No,10,2020,10/1/2020
Male,White,0 - 9 Years,10812,2,No,10,2020,10/1/2020
Male,Black,0 - 9 Years,2416,1,No,10,2020,10/1/2020
Male,Other/Missing,0 - 9 Years,15353,1,No,10,2020,10/1/2020
Male,Asian,0 - 9 Years,770,0,No,10,2020,10/1/2020
Male,Other/Missing,0 - 9 Years,139,0,Yes,10,2020,10/1/2020
Male,White,0 - 9 Years,494,0,Yes,10,2020,10/1/2020
Male,Black,0 - 9 Years,172,0,Yes,10,2020,10/1/2020
Male,Hispanic,0 - 9 Years,189,0,Yes,10,2020,10/1/2020
Male,Asian,0 - 9 Years,15,0,Yes,10,2020,10/1/2020
Male,Other/Missing,0 - 9 Years,35740,1,No,11,2020,11/1/2020
Male,Hispanic,0 - 9 Years,10210,2,No,11,2020,11/1/2020
Male,Black,0 - 9 Years,3947,1,No,11,2020,11/1/2020
Male,White,0 - 9 Years,22117,2,No,11,2020,11/1/2020
Male,Asian,0 - 9 Years,1494,0,No,11,2020,11/1/2020
Male,Other/Missing,0 - 9 Years,256,0,Yes,11,2020,11/1/2020
Male,White,0 - 9 Years,794,0,Yes,11,2020,11/1/2020
Male,Hispanic,0 - 9 Years,316,0,Yes,11,2020,11/1/2020
Male,Black,0 - 9 Years,220,0,Yes,11,2020,11/1/2020
Male,Asian,0 - 9 Years,25,0,Yes,11,2020,11/1/2020
Male,Other/Missing,0 - 9 Years,61838,3,No,12,2020,12/1/2020
Male,White,0 - 9 Years,27301,2,No,12,2020,12/1/2020
Male,Hispanic,0 - 9 Years,12274,0,No,12,2020,12/1/2020
Male,Black,0 - 9 Years,6072,0,No,12,2020,12/1/2020
Male,Asian,0 - 9 Years,2618,0,No,12,2020,12/1/2020
Male,White,0 - 9 Years,948,0,Yes,12,2020,12/1/2020
Male,Black,0 - 9 Years,326,0,Yes,12,2020,12/1/2020
Male,Hispanic,0 - 9 Years,463,0,Yes,12,2020,12/1/2020
Male,Other/Missing,0 - 9 Years,310,0,Yes,12,2020,12/1/2020
Male,Asian,0 - 9 Years,32,0,Yes,12,2020,12/1/2020
Male,White,0 - 9 Years,24910,5,No,1,2021,1/1/2021
Male,Other/Missing,0 - 9 Years,54025,4,No,1,2021,1/1/2021
Male,Hispanic,0 - 9 Years,11592,1,No,1,2021,1/1/2021
Male,Black,0 - 9 Years,6904,2,No,1,2021,1/1/2021
Male,Asian,0 - 9 Years,2573,0,No,1,2021,1/1/2021
Male,Black,0 - 9 Years,374,0,Yes,1,2021,1/1/2021
Male,White,0 - 9 Years,842,0,Yes,1,2021,1/1/2021
Male,Other/Missing,0 - 9 Years,299,0,Yes,1,2021,1/1/2021
Male,Hispanic,0 - 9 Years,588,0,Yes,1,2021,1/1/2021
Male,Asian,0 - 9 Years,75,0,Yes,1,2021,1/1/2021
Male,Hispanic,0 - 9 Years,3071,0,No,2,2021,2/1/2021
Male,Other/Missing,0 - 9 Years,11185,0,No,2,2021,2/1/2021
Male,Asian,0 - 9 Years,569,0,No,2,2021,2/1/2021
Male,White,0 - 9 Years,6646,2,No,2,2021,2/1/2021
Male,Black,0 - 9 Years,1871,0,No,2,2021,2/1/2021
Male,Other/Missing,0 - 9 Years,112,0,Yes,2,2021,2/1/2021
Male,White,0 - 9 Years,231,0,Yes,2,2021,2/1/2021
Male,Black,0 - 9 Years,103,0,Yes,2,2021,2/1/2021
Male,Hispanic,0 - 9 Years,191,0,Yes,2,2021,2/1/2021
Male,Asian,0 - 9 Years,31,0,Yes,2,2021,2/1/2021
Missing,Other/Missing,0 - 9 Years,1,0,No,1,2020,1/1/2020
Missing,Other/Missing,0 - 9 Years,7,0,No,3,2020,3/1/2020
Missing,White,0 - 9 Years,1,0,No,3,2020,3/1/2020
Missing,Other/Missing,0 - 9 Years,9,0,No,4,2020,4/1/2020
Missing,Black,0 - 9 Years,1,0,No,4,2020,4/1/2020
Missing,Black,0 - 9 Years,2,0,No,5,2020,5/1/2020
Missing,White,0 - 9 Years,2,0,No,5,2020,5/1/2020
Missing,Hispanic,0 - 9 Years,22,0,No,5,2020,5/1/2020
Missing,Other/Missing,0 - 9 Years,8,0,No,5,2020,5/1/2020
Missing,Asian,0 - 9 Years,1,0,No,5,2020,5/1/2020
Missing,Hispanic,0 - 9 Years,12,0,No,6,2020,6/1/2020
Missing,Black,0 - 9 Years,1,0,Yes,6,2020,6/1/2020
Missing,White,0 - 9 Years,6,0,No,6,2020,6/1/2020
Missing,Black,0 - 9 Years,2,0,No,6,2020,6/1/2020
Missing,Other/Missing,0 - 9 Years,7,0,No,6,2020,6/1/2020
Missing,Other/Missing,0 - 9 Years,2,0,Yes,6,2020,6/1/2020
Missing,White,0 - 9 Years,1,0,Yes,6,2020,6/1/2020
Missing,Other/Missing,0 - 9 Years,33,0,No,7,2020,7/1/2020
Missing,White,0 - 9 Years,12,0,No,7,2020,7/1/2020
Missing,Hispanic,0 - 9 Years,9,0,No,7,2020,7/1/2020
Missing,Black,0 - 9 Years,5,0,No,7,2020,7/1/2020
Missing,Asian,0 - 9 Years,1,0,No,7,2020,7/1/2020
Missing,Black,0 - 9 Years,1,0,Yes,7,2020,7/1/2020
Missing,Black,0 - 9 Years,7,0,No,8,2020,8/1/2020
Missing,Other/Missing,0 - 9 Years,31,0,No,8,2020,8/1/2020
Missing,Other/Missing,0 - 9 Years,3,0,Yes,8,2020,8/1/2020
Missing,Hispanic,0 - 9 Years,13,0,No,8,2020,8/1/2020
Missing,White,0 - 9 Years,8,0,No,8,2020,8/1/2020
Missing,White,0 - 9 Years,43,0,No,9,2020,9/1/2020
Missing,Hispanic,0 - 9 Years,56,0,No,9,2020,9/1/2020
Missing,Other/Missing,0 - 9 Years,101,0,No,9,2020,9/1/2020
Missing,Asian,0 - 9 Years,1,0,No,9,2020,9/1/2020
Missing,Black,0 - 9 Years,8,0,No,9,2020,9/1/2020
Missing,White,0 - 9 Years,1,0,Yes,9,2020,9/1/2020
Missing,Hispanic,0 - 9 Years,104,0,No,10,2020,10/1/2020
Missing,White,0 - 9 Years,76,0,No,10,2020,10/1/2020
Missing,Other/Missing,0 - 9 Years,243,0,No,10,2020,10/1/2020
Missing,White,0 - 9 Years,1,0,Yes,10,2020,10/1/2020
Missing,Black,0 - 9 Years,26,0,No,10,2020,10/1/2020
Missing,Asian,0 - 9 Years,8,0,No,10,2020,10/1/2020
Missing,Hispanic,0 - 9 Years,153,1,No,11,2020,11/1/2020
Missing,Other/Missing,0 - 9 Years,452,0,No,11,2020,11/1/2020
Missing,White,0 - 9 Years,154,0,No,11,2020,11/1/2020
Missing,Asian,0 - 9 Years,19,0,No,11,2020,11/1/2020
Missing,Black,0 - 9 Years,50,0,No,11,2020,11/1/2020
Missing,Other/Missing,0 - 9 Years,4,1,Yes,11,2020,11/1/2020
Missing,Hispanic,0 - 9 Years,272,0,No,12,2020,12/1/2020
Missing,Other/Missing,0 - 9 Years,759,0,No,12,2020,12/1/2020
Missing,White,0 - 9 Years,350,0,No,12,2020,12/1/2020
Missing,Black,0 - 9 Years,81,0,No,12,2020,12/1/2020
Missing,Asian,0 - 9 Years,26,0,No,12,2020,12/1/2020
Missing,White,0 - 9 Years,1,0,Yes,12,2020,12/1/2020
Missing,Black,0 - 9 Years,90,0,No,1,2021,1/1/2021
Missing,Hispanic,0 - 9 Years,242,0,No,1,2021,1/1/2021
Missing,Other/Missing,0 - 9 Years,640,0,No,1,2021,1/1/2021
Missing,Asian,0 - 9 Years,35,0,No,1,2021,1/1/2021
Missing,White,0 - 9 Years,296,0,No,1,2021,1/1/2021
Missing,White,0 - 9 Years,1,0,Yes,1,2021,1/1/2021
Missing,White,0 - 9 Years,84,0,No,2,2021,2/1/2021
Missing,Other/Missing,0 - 9 Years,150,0,No,2,2021,2/1/2021
Missing,Hispanic,0 - 9 Years,71,0,No,2,2021,2/1/2021
Missing,Black,0 - 9 Years,22,0,No,2,2021,2/1/2021
Missing,Asian,0 - 9 Years,6,0,No,2,2021,2/1/2021
Missing,White,0 - 9 Years,1,0,Yes,2,2021,2/1/2021
Other,Other/Missing,0 - 9 Years,1,0,Yes,3,2020,3/1/2020
Other,Other/Missing,0 - 9 Years,2,0,No,4,2020,4/1/2020
Other,Other/Missing,0 - 9 Years,2,0,No,6,2020,6/1/2020
Other,Other/Missing,0 - 9 Years,1,0,No,7,2020,7/1/2020
Other,Other/Missing,0 - 9 Years,1,0,No,9,2020,9/1/2020
Other,Other/Missing,0 - 9 Years,2,0,No,12,2020,12/1/2020
Other,Other/Missing,0 - 9 Years,5,0,No,1,2021,1/1/2021
Other,Other/Missing,0 - 9 Years,2,0,No,2,2021,2/1/2021
Unknown,White,0 - 9 Years,1,0,No,1,2020,1/1/2020
Unknown,White,0 - 9 Years,7,0,No,3,2020,3/1/2020
Unknown,Other/Missing,0 - 9 Years,25,0,No,3,2020,3/1/2020
Unknown,Black,0 - 9 Years,1,0,No,3,2020,3/1/2020
Unknown,Hispanic,0 - 9 Years,15,0,No,4,2020,4/1/2020
Unknown,Other/Missing,0 - 9 Years,72,0,No,4,2020,4/1/2020
Unknown,Black,0 - 9 Years,5,0,No,4,2020,4/1/2020
Unknown,Asian,0 - 9 Years,4,0,No,4,2020,4/1/2020
Unknown,White,0 - 9 Years,8,0,No,4,2020,4/1/2020
Unknown,Black,0 - 9 Years,1,0,Yes,4,2020,4/1/2020
Unknown,Other/Missing,0 - 9 Years,124,0,No,5,2020,5/1/2020
Unknown,Hispanic,0 - 9 Years,23,0,No,5,2020,5/1/2020
Unknown,Hispanic,0 - 9 Years,1,0,Yes,5,2020,5/1/2020
Unknown,Other/Missing,0 - 9 Years,1,0,Yes,5,2020,5/1/2020
Unknown,Black,0 - 9 Years,6,0,No,5,2020,5/1/2020
Unknown,White,0 - 9 Years,5,0,No,5,2020,5/1/2020
Unknown,Asian,0 - 9 Years,1,0,No,5,2020,5/1/2020
Unknown,Hispanic,0 - 9 Years,40,0,No,6,2020,6/1/2020
Unknown,White,0 - 9 Years,14,0,No,6,2020,6/1/2020
Unknown,Other/Missing,0 - 9 Years,222,0,No,6,2020,6/1/2020
Unknown,Hispanic,0 - 9 Years,2,0,Yes,6,2020,6/1/2020
Unknown,Asian,0 - 9 Years,2,0,No,6,2020,6/1/2020
Unknown,Black,0 - 9 Years,12,0,No,6,2020,6/1/2020
Unknown,Other/Missing,0 - 9 Years,1,0,Yes,6,2020,6/1/2020
Unknown,Black,0 - 9 Years,1,0,Yes,6,2020,6/1/2020
Unknown,White,0 - 9 Years,1,0,Yes,6,2020,6/1/2020
Unknown,White,0 - 9 Years,21,0,No,7,2020,7/1/2020
Unknown,Hispanic,0 - 9 Years,84,0,No,7,2020,7/1/2020
Unknown,Other/Missing,0 - 9 Years,705,0,No,7,2020,7/1/2020
Unknown,Black,0 - 9 Years,4,0,Yes,7,2020,7/1/2020
Unknown,Black,0 - 9 Years,42,0,No,7,2020,7/1/2020
Unknown,Asian,0 - 9 Years,8,0,No,7,2020,7/1/2020
Unknown,Hispanic,0 - 9 Years,1,0,Yes,7,2020,7/1/2020
Unknown,White,0 - 9 Years,1,0,Yes,7,2020,7/1/2020
Unknown,White,0 - 9 Years,30,0,No,8,2020,8/1/2020
Unknown,Hispanic,0 - 9 Years,46,0,No,8,2020,8/1/2020
Unknown,Black,0 - 9 Years,25,0,No,8,2020,8/1/2020
Unknown,Other/Missing,0 - 9 Years,279,0,No,8,2020,8/1/2020
Unknown,White,0 - 9 Years,2,0,Yes,8,2020,8/1/2020
Unknown,Asian,0 - 9 Years,3,0,No,8,2020,8/1/2020
Unknown,Other/Missing,0 - 9 Years,182,0,No,9,2020,9/1/2020
Unknown,White,0 - 9 Years,29,0,No,9,2020,9/1/2020
Unknown,Hispanic,0 - 9 Years,24,0,No,9,2020,9/1/2020
Unknown,Black,0 - 9 Years,12,0,No,9,2020,9/1/2020
Unknown,Asian,0 - 9 Years,2,0,No,9,2020,9/1/2020
Unknown,White,0 - 9 Years,71,0,No,10,2020,10/1/2020
Unknown,Hispanic,0 - 9 Years,45,0,No,10,2020,10/1/2020
Unknown,Other/Missing,0 - 9 Years,302,0,No,10,2020,10/1/2020
